subsistema_id,subsistema,data_hora,carga_mw_media,hora,dia,mes,dia_semana
N,NORTE,2025-01-01 00:00:00,7097.75099999,0,1,1,Wednesday
NE,NORDESTE,2025-01-01 00:00:00,12251.182,0,1,1,Wednesday
S,SUL,2025-01-01 00:00:00,10554.60299999,0,1,1,Wednesday
SE,SUDESTE,2025-01-01 00:00:00,35374.03299999,0,1,1,Wednesday
N,NORTE,2025-01-01 01:00:00,7053.337,1,1,1,Wednesday
NE,NORDESTE,2025-01-01 01:00:00,12460.162,1,1,1,Wednesday
S,SUL,2025-01-01 01:00:00,10828.13799999,1,1,1,Wednesday
SE,SUDESTE,2025-01-01 01:00:00,35373.185,1,1,1,Wednesday
N,NORTE,2025-01-01 02:00:00,7244.13,2,1,1,Wednesday
NE,NORDESTE,2025-01-01 02:00:00,12588.628,2,1,1,Wednesday
S,SUL,2025-01-01 02:00:00,10605.04099999,2,1,1,Wednesday
SE,SUDESTE,2025-01-01 02:00:00,35141.831,2,1,1,Wednesday
N,NORTE,2025-01-01 03:00:00,7255.306,3,1,1,Wednesday
NE,NORDESTE,2025-01-01 03:00:00,12604.346,3,1,1,Wednesday
S,SUL,2025-01-01 03:00:00,10260.22599999,3,1,1,Wednesday
SE,SUDESTE,2025-01-01 03:00:00,34470.60799999,3,1,1,Wednesday
N,NORTE,2025-01-01 04:00:00,7232.931,4,1,1,Wednesday
NE,NORDESTE,2025-01-01 04:00:00,12596.084,4,1,1,Wednesday
S,SUL,2025-01-01 04:00:00,9971.459,4,1,1,Wednesday
SE,SUDESTE,2025-01-01 04:00:00,33814.527,4,1,1,Wednesday
N,NORTE,2025-01-01 05:00:00,7229.36199999,5,1,1,Wednesday
NE,NORDESTE,2025-01-01 05:00:00,11998.62999999,5,1,1,Wednesday
S,SUL,2025-01-01 05:00:00,9601.931,5,1,1,Wednesday
SE,SUDESTE,2025-01-01 05:00:00,32509.154,5,1,1,Wednesday
N,NORTE,2025-01-01 06:00:00,7005.63099999,6,1,1,Wednesday
NE,NORDESTE,2025-01-01 06:00:00,11507.30699999,6,1,1,Wednesday
S,SUL,2025-01-01 06:00:00,9724.829,6,1,1,Wednesday
SE,SUDESTE,2025-01-01 06:00:00,31982.939,6,1,1,Wednesday
N,NORTE,2025-01-01 07:00:00,6807.913,7,1,1,Wednesday
NE,NORDESTE,2025-01-01 07:00:00,11082.651,7,1,1,Wednesday
S,SUL,2025-01-01 07:00:00,9965.59099999,7,1,1,Wednesday
SE,SUDESTE,2025-01-01 07:00:00,32207.683,7,1,1,Wednesday
N,NORTE,2025-01-01 08:00:00,6774.52599999,8,1,1,Wednesday
NE,NORDESTE,2025-01-01 08:00:00,10758.20199999,8,1,1,Wednesday
S,SUL,2025-01-01 08:00:00,9840.035,8,1,1,Wednesday
SE,SUDESTE,2025-01-01 08:00:00,32453.665,8,1,1,Wednesday
N,NORTE,2025-01-01 09:00:00,6772.877,9,1,1,Wednesday
NE,NORDESTE,2025-01-01 09:00:00,10577.688,9,1,1,Wednesday
S,SUL,2025-01-01 09:00:00,9783.913,9,1,1,Wednesday
SE,SUDESTE,2025-01-01 09:00:00,33264.864,9,1,1,Wednesday
N,NORTE,2025-01-01 10:00:00,6772.958,10,1,1,Wednesday
NE,NORDESTE,2025-01-01 10:00:00,10415.971,10,1,1,Wednesday
S,SUL,2025-01-01 10:00:00,10098.013,10,1,1,Wednesday
SE,SUDESTE,2025-01-01 10:00:00,34528.425,10,1,1,Wednesday
N,NORTE,2025-01-01 11:00:00,6736.793,11,1,1,Wednesday
NE,NORDESTE,2025-01-01 11:00:00,10248.979,11,1,1,Wednesday
S,SUL,2025-01-01 11:00:00,10725.96499999,11,1,1,Wednesday
SE,SUDESTE,2025-01-01 11:00:00,35240.858,11,1,1,Wednesday
N,NORTE,2025-01-01 12:00:00,6739.884,12,1,1,Wednesday
NE,NORDESTE,2025-01-01 12:00:00,9925.75399999,12,1,1,Wednesday
S,SUL,2025-01-01 12:00:00,10832.859,12,1,1,Wednesday
SE,SUDESTE,2025-01-01 12:00:00,34901.939,12,1,1,Wednesday
N,NORTE,2025-01-01 13:00:00,6734.909,13,1,1,Wednesday
NE,NORDESTE,2025-01-01 13:00:00,9938.75899999,13,1,1,Wednesday
S,SUL,2025-01-01 13:00:00,10905.229,13,1,1,Wednesday
SE,SUDESTE,2025-01-01 13:00:00,33922.866,13,1,1,Wednesday
N,NORTE,2025-01-01 14:00:00,6854.58,14,1,1,Wednesday
NE,NORDESTE,2025-01-01 14:00:00,10096.473,14,1,1,Wednesday
S,SUL,2025-01-01 14:00:00,11148.76,14,1,1,Wednesday
SE,SUDESTE,2025-01-01 14:00:00,33522.846,14,1,1,Wednesday
N,NORTE,2025-01-01 15:00:00,6928.58099999,15,1,1,Wednesday
NE,NORDESTE,2025-01-01 15:00:00,10523.082,15,1,1,Wednesday
S,SUL,2025-01-01 15:00:00,11466.503,15,1,1,Wednesday
SE,SUDESTE,2025-01-01 15:00:00,34114.35699999,15,1,1,Wednesday
N,NORTE,2025-01-01 16:00:00,6968.51199999,16,1,1,Wednesday
NE,NORDESTE,2025-01-01 16:00:00,11211.263,16,1,1,Wednesday
S,SUL,2025-01-01 16:00:00,11707.14299999,16,1,1,Wednesday
SE,SUDESTE,2025-01-01 16:00:00,35243.34399999,16,1,1,Wednesday
N,NORTE,2025-01-01 17:00:00,6962.122,17,1,1,Wednesday
NE,NORDESTE,2025-01-01 17:00:00,11875.14899999,17,1,1,Wednesday
S,SUL,2025-01-01 17:00:00,11791.594,17,1,1,Wednesday
SE,SUDESTE,2025-01-01 17:00:00,36531.05999999,17,1,1,Wednesday
N,NORTE,2025-01-01 18:00:00,7243.717,18,1,1,Wednesday
NE,NORDESTE,2025-01-01 18:00:00,13314.967,18,1,1,Wednesday
S,SUL,2025-01-01 18:00:00,11966.126,18,1,1,Wednesday
SE,SUDESTE,2025-01-01 18:00:00,38713.236,18,1,1,Wednesday
N,NORTE,2025-01-01 19:00:00,7584.457,19,1,1,Wednesday
NE,NORDESTE,2025-01-01 19:00:00,13778.667,19,1,1,Wednesday
S,SUL,2025-01-01 19:00:00,12879.518,19,1,1,Wednesday
SE,SUDESTE,2025-01-01 19:00:00,42135.88,19,1,1,Wednesday
N,NORTE,2025-01-01 20:00:00,7760.34399999,20,1,1,Wednesday
NE,NORDESTE,2025-01-01 20:00:00,13823.916,20,1,1,Wednesday
S,SUL,2025-01-01 20:00:00,13423.447,20,1,1,Wednesday
SE,SUDESTE,2025-01-01 20:00:00,42880.889,20,1,1,Wednesday
N,NORTE,2025-01-01 21:00:00,7950.068,21,1,1,Wednesday
NE,NORDESTE,2025-01-01 21:00:00,14169.462,21,1,1,Wednesday
S,SUL,2025-01-01 21:00:00,13267.566,21,1,1,Wednesday
